province,chargers,avg_power
's-Gravenhage,441,11.550232558139536
's-Hertogenbosch,126,10.303174603174604
AaenHunze,5,23.32
Aalsmeer,19,10.036842105263156
Aalten,3,11.0
Achtkarspelen,6,13.666666666666666
Alblasserdam,9,13.222222222222221
Albrandswaard,24,17.465217391304346
Alkmaar,41,10.358536585365853
Almelo,20,19.24736842105263
Almere,99,13.35360824742268
Alphen-Chaam,2,3.0
AlphenaandenRijn,84,10.226506024096386
Altena,21,13.952380952380953
Ameland,5,10.0
Amersfoort,81,13.767088607594935
Amstelveen,51,10.211764705882352
Amsterdam,439,11.218561484918792
Apeldoorn,87,22.372413793103448
Arnhem,96,12.706315789473683
Assen,25,15.945833333333333
Asten,4,9.175
Baarle-Nassau,1,3.7
Baarn,9,14.555555555555555
Barendrecht,51,11.031372549019608
Barneveld,38,41.54736842105263
Beek,3,6.133333333333333
Beekdaelen,8,10.0875
Beemster,5,27.339999999999996
Beesel,2,11.0
Bergeijk,3,11.0
Bergen,33,9.787878787878787
BergenDal,5,12.008
BergenopZoom,26,13.296
Berkelland,14,22.0
Bernheze,14,10.15
Best,20,41.364999999999995
Beuningen,9,16.144444444444446
Beverwijk,15,10.453333333333335
Bladel,7,10.142857142857142
Blaricum,3,14.666666666666666
Bloemendaal,14,9.450000000000001
Bodegraven-Reeuwijk,16,34.8
Boekel,5,12.459999999999999
Borger-Odoorn,4,12.675
Borne,7,11.528571428571428
Borsele,8,23.5
Boxmeer,10,8.455555555555556
Boxtel,15,15.733333333333333
Breda,110,9.598148148148148
Brielle,16,16.1875
Bronckhorst,10,8.58
Brummen,11,9.363636363636363
Brunssum,6,15.0
Bunnik,18,16.094444444444445
Bunschoten,4,7.0
Buren,12,9.508333333333333
CapelleaandenIJssel,32,10.66875
Castricum,19,16.042105263157897
Coevorden,9,10.288888888888888
Cranendonck,8,7.675
Cuijk,14,21.957142857142856
Culemborg,15,10.853333333333333
Dalfsen,9,9.366666666666667
Dantumadeel,3,5.2
DeBilt,30,12.403333333333334
DeFryskeMarren,20,8.440000000000001
DeRondeVenen,34,9.347058823529412
DeWolden,5,31.54
Delft,60,15.513559322033897
DenHelder,11,9.454545454545455
Deurne,17,19.0
Deventer,34,19.558823529411764
Diemen,10,9.309999999999999
Dinkelland,6,12.450000000000001
Doesburg,2,11.0
Doetinchem,15,11.246666666666666
Dongen,11,9.127272727272727
Dordrecht,73,11.715277777777779
Drimmelen,13,11.953846153846154
Dronten,14,11.207692307692307
Druten,4,13.175
Duiven,6,36.5
Echt-Susteren,4,11.0
Edam-Volendam,16,11.91875
Ede,55,12.32
Eemnes,9,13.044444444444444
Eemsdelta,13,9.315384615384614
Eersel,9,10.322222222222223
Eijsden-Margraten,13,16.9
Eindhoven,129,11.0808
Elburg,6,13.85
Emmen,19,43.42631578947368
Enkhuizen,3,5.2
Enschede,38,19.94473684210526
Epe,10,22.71
Ermelo,12,7.566666666666666
Etten-Leur,17,10.688235294117646
Geertruidenberg,13,10.672727272727274
Geldrop-Mierlo,18,8.705555555555556
Gemert-Bakel,7,24.142857142857142
Gennep,7,9.285714285714286
GilzeenRijen,15,13.78
Goeree-Overflakkee,36,10.231428571428571
Goes,25,18.55
Goirle,8,7.8375
GooiseMeren,44,15.325581395348838
Gorinchem,25,34.324
Gouda,21,18.369999999999997
Grave,4,13.75
Groningen,88,17.3
Gulpen-Wittem,6,18.333333333333332
Haaksbergen,5,13.219999999999999
Haarlem,72,16.908695652173915
Haarlemmermeer,157,16.208333333333332
Halderberge,9,35.93333333333333
Hardenberg,16,31.9375
Harderwijk,18,27.37222222222222
Hardinxveld-Giessendam,5,17.34
Harlingen,7,14.142857142857142
Hattem,7,5.528571428571429
Heemskerk,11,32.481818181818184
Heemstede,17,7.847058823529412
Heerde,9,13.044444444444444
Heerenveen,29,9.582758620689654
Heerhugowaard,27,9.151851851851852
Heerlen,21,23.552380952380954
Heeze-Leende,7,9.1
Heiloo,12,23.558333333333334
Hellendoorn,12,15.725
Hellevoetsluis,18,12.652941176470588
Helmond,35,9.61142857142857
Hendrik-Ido-Ambacht,24,46.833333333333336
Hengelo,29,23.324137931034482
HetHogeland,12,43.425000000000004
Heumen,11,26.545454545454547
Heusden,17,10.08235294117647
Hillegom,4,12.25
Hilvarenbeek,4,15.75
Hilversum,37,9.254054054054054
HoekscheWaard,61,10.206557377049181
HofvanTwente,9,10.88888888888889
HollandsKroon,16,61.65
Hoogeveen,14,18.1
Hoorn,26,12.415384615384616
HorstaandeMaas,18,39.02222222222222
Houten,39,9.602631578947367
Huizen,18,8.655555555555557
Hulst,5,11.74
IJsselmeer,23,10.147826086956522
IJsselstein,25,13.35
KaagenBraassem,14,12.36153846153846
Kampen,14,33.76428571428571
Kapelle,10,12.6
Katwijk,42,9.997619047619047
Kerkrade,4,9.175
Kesteren,11,47.372727272727275
Koggenland,6,30.616666666666664
KrimpenaandenIJssel,16,21.59375
Krimpenerwaard,18,9.444444444444445
Laarbeek,5,9.540000000000001
Landerd,4,12.25
