ID,UUID,UsageTypeID,UsageCost,OperatorInfo.Title,AddressInfo.Town,AddressInfo.Postcode,AddressInfo.Latitude,AddressInfo.Longitude,Conn_ID,Conn_PowerKW,Conn_ConnectionType.Title,Conn_Level.IsFastChargeCapable,Conn_Level.ID,Conn_Level.Title,Conn_CurrentType.Description,Conn_CurrentType.ID,Conn_CurrentType.Title,Conn_Amps,Conn_Voltage,geometry,index_right,municipality,province
470818,CD3500A7-BF6F-4E37-BC58-7944920D814D,4.0,"0,38 cent ex BTW",(Unknown Operator),Barneveld,3771 NA,52.165651333711764,5.606631844036883,790824.0,400.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,500.0,800.0,POINT (5.606631844036883 52.165651333711764),39.0,Gelderland,Barneveld
470683,90DF85B1-1E70-4483-99EF-3950B1EF439E,1.0,"0,69",(Unknown Operator),Heumen,6582 BW,51.765646359806624,5.8351903289863,790530.0,150.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,,,POINT (5.8351903289863 51.765646359806624),58.0,Gelderland,Heumen
469531,C0F015E6-A20D-4DF8-AA07-9A807384E1DB,4.0,,(Unknown Operator),Rotterdam,3054 SE,37.415328,-122.076575,788112.0,11.0,Type 2 (Socket Only),False,2.0,Level 2 : Medium (Over 2kW),,,,,,POINT (-122.076575 37.415328),,,
469283,E0690547-C619-4806-8F0B-A9290FF33F0C,1.0,,(Unknown Operator),Arnemuiden,4341RA,51.51346059910438,3.7252811161121144,787694.0,22.0,Type 2 (Socket Only),False,2.0,Level 2 : Medium (Over 2kW),Alternating Current - Three Phase,20.0,AC (Three-Phase),32.0,,POINT (3.7252811161121144 51.51346059910438),292.0,Zeeland,Middelburg
464107,7D45EF7E-0350-4AA9-A1C2-302899967D2B,4.0,,PowerGo,Bedum,9781 AD,53.3003273,6.59483814,781060.0,320.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,640.0,500.0,POINT (6.59483814 53.3003273),89.0,Groningen,HetHogeland
464106,3EFA50BD-72DC-4EAA-B274-14C7785B13F3,4.0,,PowerGo,Steendam,9629PA,53.2651655,6.8385025,781057.0,30.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,60.0,500.0,POINT (6.8385025 53.2651655),90.0,Groningen,Midden-Groningen
464105,C2FB7EBC-C46B-4AF4-ADF7-F27A7A86C60A,4.0,,PowerGo,Nieuw-Buinen,9521AX,52.96674045,6.96207186,781051.0,12.7,Type 2 (Tethered Connector) ,False,2.0,Level 2 : Medium (Over 2kW),Alternating Current - Three Phase,20.0,AC (Three-Phase),32.0,230.0,POINT (6.96207186 52.96674045),2.0,Drenthe,Borger-Odoorn
464104,63AF9D6E-6CC8-43C7-8EB4-7F905243FD57,4.0,,PowerGo,Wieringerwerf,1771MJ,52.92330845,5.04660763,781045.0,12.7,Type 2 (Tethered Connector) ,False,2.0,Level 2 : Medium (Over 2kW),Alternating Current - Three Phase,20.0,AC (Three-Phase),32.0,230.0,POINT (5.04660763 52.92330845),97.0,IJsselmeer,IJsselmeer
464102,1289D1E0-025C-4D4A-9F0D-8C2238682B4B,4.0,,PowerGo,Ter Apel,9561KM,52.87522725,7.05917399,781040.0,90.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,180.0,500.0,POINT (7.05917399 52.87522725),96.0,Groningen,Westerwolde
464101,CD0FF7A7-FAD6-428D-AAA3-CA5B87F634CD,4.0,,PowerGo,Emmen,7811 CE,52.7918663,6.89794159,781038.0,50.0,CCS (Type 2),True,3.0,Level 3:  High (Over 40kW),Direct Current,30.0,DC,100.0,500.0,POINT (6.89794159 52.7918663),5.0,Drenthe,Emmen
